"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Bangladesh","BGD","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","234000000","251000000","314000000","294000000","375000000","471000000","341000000","309000000","389000000","442000000","371000000","481000000","578000000","708000000","661000000","852000000","819000000","889000000","1308000000","782000000","827000000","848000000","",
"Bulgaria","BGR","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","312000000","314000000","355000000","654000000","747000000","764000000","836000000","1018000000","1467000000","1935000000","1858000000","2099000000","2142000000","2602000000","1955000000","975000000","1063000000","1096000000","1342000000","1459000000","1346000000","1636000000","",
"Bahrain","BHR","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","320000000","298000000","318000000","327000000","395000000","425000000","423000000","550000000","492000000","528000000","574000000","639000000","671000000","704000000","597000000","684000000","899000000","889000000","873000000","864000000","","","",
"Bahamas, The","BHS","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","241000000","279000000","310000000","310000000","310000000","348000000","342000000","338000000","404000000","469000000","528000000","541000000","538000000","460000000","386000000","369000000","347000000","384000000","362000000","328000000","348000000","440000000","",
"Bosnia and Herzegovina","BIH","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97000000","101000000","92000000","96000000","112000000","145000000","162000000","158000000","210000000","264000000","345000000","285000000","247000000","214000000","196000000","198000000","211000000","201000000","214000000","",
"Belarus","BLR","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101000000","142000000","122000000","138000000","133000000","247000000","486000000","527000000","436000000","500000000","516000000","675000000","724000000","860000000","752000000","748000000","729000000","948000000","1333000000","1308000000","997000000","897000000","",
"Belize","BLZ","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33000000","38000000","30000000","33000000","39000000","44000000","45000000","48000000","50000000","47000000","45000000","43000000","46000000","44000000","43000000","39000000","37000000","39000000","42000000","51000000","50000000","55000000","",
"Bermuda","BMU","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","243000000","248000000","217000000","239000000","394000000","453000000","459000000","407000000","417000000","326000000","327000000","322000000","378000000","381000000","392000000","",
"Bolivia","BOL","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72000000","87000000","96000000","98000000","117000000","116000000","114000000","114000000","197000000","232000000","257000000","360000000","385000000","381000000","388000000","421000000","410000000","502000000","660000000","953000000","849000000","945000000","",
"Brazil","BRA","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3982000000","4988000000","6208000000","6019000000","3551000000","4548000000","3765000000","2929000000","2874000000","3752000000","5905000000","7501000000","10434000000","13269000000","12897000000","18883000000","24608000000","26008000000","29286000000","29998000000","20356000000","17068000000","",
"Barbados","BRB","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110000000","114000000","120000000","126000000","132000000","141000000","149000000","146000000","153000000","163000000","274000000","284000000","290000000","279000000","293000000","351000000","124000000","84000000","78000000","","","","",
"Brunei Darussalam","BRN","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","456000000","398000000","469000000","382000000","374000000","408000000","430000000","459000000","477000000","","","591000000","624000000","616000000","459000000","499000000","",
"Bhutan","BTN","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22000000","26000000","65000000","34000000","43000000","58000000","69000000","67000000","45000000","44000000","52000000","",
"Botswana","BWA","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","153000000","92000000","104000000","138000000","155000000","209000000","215000000","197000000","235000000","280000000","283000000","280000000","282300000","229700000","232450000","298500000","316480000","332000000","262200000","277000000","274400000","267000000","",
"Central African Republic","CAF","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43000000","44000000","51000000","44000000","33000000","33000000","29000000","29000000","31000000","32000000","46000000","47000000","54000000","56000000","61000000","67000000","68000000","69000000","69800000","","","","",
"Canada","CAN","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12658000000","13815000000","14151000000","13384000000","13999000000","15125000000","14634000000","14257000000","16309000000","19267000000","22739000000","26067000000","31099000000","33844000000","30065000000","36975000000","41234000000","43010000000","43092000000","41669000000","36364000000","29067000000","",
"Central Europe and the Baltics","CEB","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11718000000","14321000000","13173000000","11670000000","10766000000","9940000000","10491000000","11825000000","13623000000","17138000000","19002000000","21863000000","26076000000","33565000000","26468000000","25737000000","27275000000","26100000000","27606000000","29398000000","26653000000","28376000000","",
"Switzerland","CHE","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9478000000","9798000000","8944000000","8754000000","7646000000","7360000000","7085000000","7210000000","8614000000","9924000000","10548000000","11134000000","12236000000","13282000000","12990000000","13460000000","16483000000","17980000000","19093000000","19940000000","18761000000","18849000000","",
"Channel Islands","CHI","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","934000000","977000000","1132000000","1174000000","1032000000","904000000","939000000","932000000","1109000000","1251000000","1114000000","1238000000","1408000000","1386000000","1511000000","1736000000","2085000000","2400000000","2499000000","2707000000","2517000000","2715000000","",
"China","CHN","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3688000000","4474000000","9220000000","9943000000","11621000000","14169000000","14992000000","16759000000","16716000000","21360000000","21759000000","24322000000","29786000000","36157000000","43702000000","54880000000","72585000000","101977000000","128576000000","227344000000","249831000000","261129000000","",
"Cote d'Ivoire","CIV","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","312000000","347000000","317000000","331000000","337000000","291000000","289000000","490000000","551000000","571000000","549000000","583000000","606000000","612000000","589000000","569000000","580000000","560000000","583000000","625000000","560000000","","",
"Cameroon","CMR","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","140000000","155000000","175000000","210000000","192000000","241000000","199000000","205000000","272000000","394000000","480000000","521000000","466000000","563000000","476000000","265000000","622000000","668000000","795000000","830000000","742000000","","",
"Congo, Dem. Rep.","COD","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54000000","93000000","109000000","127000000","121000000","150000000","298000000","108000000","170000000","283000000","127000000","60000000","",
"Congo, Rep.","COG","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69000000","86000000","68000000","69000000","71000000","59000000","82000000","85000000","118000000","176000000","112000000","132000000","157000000","217000000","549000000","312000000","327000000","308000000","360000000","435000000","","","",
"Colombia","COL","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1162000000","1431000000","1560000000","1455000000","1339000000","1452000000","1556000000","1355000000","1349000000","1469000000","1934000000","2157000000","2460000000","2775000000","2801000000","3188000000","3631000000","4363000000","4485000000","5175000000","4822000000","4732000000","",
"Comoros","COM","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15000000","","","","","","","","7900000","9400000","19100000","23600000","28300000","31100000","30000000","33200000","37400000","36300000","","","","","",
"Cabo Verde","CPV","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20000000","24000000","25000000","32000000","47000000","41000000","55000000","63000000","89000000","93000000","82000000","106000000","123000000","143000000","145000000","138000000","142000000","135000000","127000000","115000000","109000000","75000000","",
